股票名, 代码, 时间戳, 上市时间
SH603337, 杰克股份, 1484755200, 2017-01-19 00:00:00
SZ002841, 视源股份, 1484755200, 2017-01-19 00:00:00
SZ300592, 华凯创意, 1484841600, 2017-01-20 00:00:00
SH601858, 中国科传, 1484668800, 2017-01-18 00:00:00
SZ300595, 欧普康视, 1484582400, 2017-01-17 00:00:00
SZ300596, 利安隆, 1484755200, 2017-01-19 00:00:00
SH603165, 荣晟环保, 1484582400, 2017-01-17 00:00:00
SH603668, 天马科技, 1484582400, 2017-01-17 00:00:00
SZ002842, 翔鹭钨业, 1484755200, 2017-01-19 00:00:00
SH603038, 华立股份, 1484496000, 2017-01-16 00:00:00
SZ300589, 江龙船艇, 1484236800, 2017-01-13 00:00:00
SZ300593, 新雷能, 1484236800, 2017-01-13 00:00:00
SH603039, 泛微网络, 1484236800, 2017-01-13 00:00:00
SH603690, 至纯科技, 1484236800, 2017-01-13 00:00:00
SZ002824, 和胜股份, 1484150400, 2017-01-12 00:00:00
SH603639, 海利尔, 1484150400, 2017-01-12 00:00:00
SZ300580, 贝斯特, 1484064000, 2017-01-11 00:00:00
SZ300584, 海辰药业, 1484150400, 2017-01-12 00:00:00
SH603579, 荣泰健康, 1484064000, 2017-01-11 00:00:00
SH603628, 清源股份, 1484150400, 2017-01-12 00:00:00
SZ300590, 移为通信, 1484064000, 2017-01-11 00:00:00
SH603266, 天龙股份, 1483977600, 2017-01-10 00:00:00
SH603689, 皖天然气, 1483977600, 2017-01-10 00:00:00
SZ300591, 万里马, 1483977600, 2017-01-10 00:00:00
SH603877, 太平鸟, 1483891200, 2017-01-09 00:00:00
SZ002840, 华统股份, 1483977600, 2017-01-10 00:00:00
SZ300583, 赛托生物, 1483632000, 2017-01-06 00:00:00
SH603228, 景旺电子, 1483632000, 2017-01-06 00:00:00
SZ002838, 道恩股份, 1483632000, 2017-01-06 00:00:00
SZ300587, 天铁股份, 1483545600, 2017-01-05 00:00:00
SH603032, 德新交运, 1483545600, 2017-01-05 00:00:00
SH603035, 常熟汽饰, 1483545600, 2017-01-05 00:00:00
SZ300588, 熙菱信息, 1483545600, 2017-01-05 00:00:00
SH603186, 华正新材, 1483372800, 2017-01-03 00:00:00
SH603444, 吉比特, 1483459200, 2017-01-04 00:00:00
SZ300586, 美联新材, 1483459200, 2017-01-04 00:00:00
SH603239, 浙江仙通, 1483027200, 2016-12-30 00:00:00
SZ002836, 新宏泽, 1482940800, 2016-12-29 00:00:00
SH603929, 亚翔集成, 1483027200, 2016-12-30 00:00:00
SZ300585, 奥联电子, 1482940800, 2016-12-29 00:00:00
SH603218, 日月股份, 1482854400, 2016-12-28 00:00:00
SZ002833, 弘亚数控, 1482854400, 2016-12-28 00:00:00
SZ002837, 英维克, 1482940800, 2016-12-29 00:00:00
SH601375, 中原证券, 1483372800, 2017-01-03 00:00:00
SZ300582, 英飞特, 1482854400, 2016-12-28 00:00:00
SH603886, 元祖股份, 1482854400, 2016-12-28 00:00:00
SZ002835, 同为股份, 1482854400, 2016-12-28 00:00:00
SH603298, 杭叉集团, 1482768000, 2016-12-27 00:00:00
SZ002832, 比音勒芬, 1482422400, 2016-12-23 00:00:00
SH600996, 贵广网络, 1482681600, 2016-12-26 00:00:00
SH603058, 永吉股份, 1482422400, 2016-12-23 00:00:00
SZ300579, 数字认证, 1482422400, 2016-12-23 00:00:00
SH603577, 汇金通, 1482336000, 2016-12-22 00:00:00
SZ300581, 晨曦航空, 1482163200, 2016-12-20 00:00:00
SH603416, 信捷电气, 1482249600, 2016-12-21 00:00:00
SZ300577, 开润股份, 1482249600, 2016-12-21 00:00:00
SH603823, 百合花, 1482163200, 2016-12-20 00:00:00
SZ300576, 容大感光, 1482163200, 2016-12-20 00:00:00
SH603878, 武进不锈, 1482076800, 2016-12-19 00:00:00
SZ300575, 中旗股份, 1482163200, 2016-12-20 00:00:00
SH603389, 亚振家居, 1481731200, 2016-12-15 00:00:00
SZ002831, 裕同科技, 1481817600, 2016-12-16 00:00:00
SH603585, 苏利股份, 1481644800, 2016-12-14 00:00:00
SZ002829, 星网宇达, 1481558400, 2016-12-13 00:00:00
SH603098, 森特股份, 1481817600, 2016-12-16 00:00:00
SZ002830, 名雕股份, 1481558400, 2016-12-13 00:00:00
SH603708, 家家悦, 1481558400, 2016-12-13 00:00:00
SZ300571, 平治信息, 1481558400, 2016-12-13 00:00:00
SH603928, 兴业股份, 1481472000, 2016-12-12 00:00:00
SZ300573, 兴齐眼药, 1481126400, 2016-12-08 00:00:00
SH603036, 如通股份, 1481212800, 2016-12-09 00:00:00
SZ002828, 贝肯能源, 1481126400, 2016-12-08 00:00:00
SH603990, 麦迪科技, 1481126400, 2016-12-08 00:00:00
SZ002827, 高争民爆, 1481212800, 2016-12-09 00:00:00
SH603033, 三维股份, 1481040000, 2016-12-07 00:00:00
SZ300570, 太辰光, 1480953600, 2016-12-06 00:00:00
SH600909, 华安证券, 1480953600, 2016-12-06 00:00:00
SZ300572, 安车检测, 1480953600, 2016-12-06 00:00:00
SZ002826, 易明医药, 1481212800, 2016-12-09 00:00:00
SH603319, 湘油泵, 1480435200, 2016-11-30 00:00:00
SZ300568, 星源材质, 1480521600, 2016-12-01 00:00:00
SH603559, 中通国脉, 1480608000, 2016-12-02 00:00:00
SZ002825, 纳尔股份, 1480348800, 2016-11-29 00:00:00
SH603660, 苏州科达, 1480521600, 2016-12-01 00:00:00
SZ002822, 中装建设, 1480348800, 2016-11-29 00:00:00
SH603323, 吴江银行, 1480348800, 2016-11-29 00:00:00
SZ300569, 天能重工, 1480003200, 2016-11-25 00:00:00
SH603819, 神力股份, 1480003200, 2016-11-25 00:00:00
SZ002823, 凯中精密, 1479916800, 2016-11-24 00:00:00
SH603336, 宏辉果蔬, 1479916800, 2016-11-24 00:00:00
SH603900, 通灵珠宝, 1479830400, 2016-11-23 00:00:00
SZ300567, 精测电子, 1479744000, 2016-11-22 00:00:00
SH603727, 博迈科, 1479744000, 2016-11-22 00:00:00
SZ300565, 科信技术, 1479744000, 2016-11-22 00:00:00
SH603987, 康德莱, 1479657600, 2016-11-21 00:00:00
SZ002821, 凯莱英, 1479398400, 2016-11-18 00:00:00
SH603858, 步长制药, 1479398400, 2016-11-18 00:00:00
SZ002820, 桂发祥, 1479398400, 2016-11-18 00:00:00
SH603633, 徕木股份, 1479312000, 2016-11-17 00:00:00
SZ300562, 乐心医疗, 1479225600, 2016-11-16 00:00:00
SZ300561, 汇金科技, 1479312000, 2016-11-17 00:00:00
SZ300566, 激智科技, 1479139200, 2016-11-15 00:00:00
SH601229, 上海银行, 1479225600, 2016-11-16 00:00:00
SZ300563, 神宇股份, 1479052800, 2016-11-14 00:00:00
SH603977, 国泰集团, 1478793600, 2016-11-11 00:00:00
SH603556, 海兴电力, 1478707200, 2016-11-10 00:00:00
SH603060, 国检集团, 1478620800, 2016-11-09 00:00:00
SZ002819, 东方中科, 1478793600, 2016-11-11 00:00:00
SH603203, 快克股份, 1478534400, 2016-11-08 00:00:00
SZ300558, 贝达药业, 1478448000, 2016-11-07 00:00:00
SZ300556, 丝路视觉, 1478188800, 2016-11-04 00:00:00
SH601882, 海天精工, 1478448000, 2016-11-07 00:00:00
SZ002818, 富森美, 1478620800, 2016-11-09 00:00:00
SZ300557, 理工光科, 1477929600, 2016-11-01 00:00:00
SZ300560, 中富通, 1477929600, 2016-11-01 00:00:00
SH603716, 塞力斯, 1477843200, 2016-10-31 00:00:00
SZ300559, 佳发安泰, 1477929600, 2016-11-01 00:00:00
SH603888, 新华网, 1477584000, 2016-10-28 00:00:00
SH603258, 电魂网络, 1477411200, 2016-10-26 00:00:00
SH600926, 杭州银行, 1477497600, 2016-10-27 00:00:00
SZ002817, 黄山胶囊, 1477324800, 2016-10-25 00:00:00
SH603667, 五洲新春, 1477324800, 2016-10-25 00:00:00
SZ002816, 和科达, 1477324800, 2016-10-25 00:00:00
SH603859, 能科股份, 1476979200, 2016-10-21 00:00:00
SZ300552, 万集科技, 1476979200, 2016-10-21 00:00:00
SZ300553, 集智股份, 1476979200, 2016-10-21 00:00:00
SZ300550, 和仁科技, 1476720000, 2016-10-18 00:00:00
SZ300555, 路通视信, 1476720000, 2016-10-18 00:00:00
SH603160, 汇顶科技, 1476633600, 2016-10-17 00:00:00
SZ300551, 古鳌科技, 1476720000, 2016-10-18 00:00:00
SH603816, 顾家家居, 1476374400, 2016-10-14 00:00:00
SH603313, 恒康家居, 1476288000, 2016-10-13 00:00:00
SZ300548, 博创科技, 1476201600, 2016-10-12 00:00:00
SH603777, 来伊份, 1476201600, 2016-10-12 00:00:00
SZ002813, 路畅科技, 1476201600, 2016-10-12 00:00:00
SH603421, 鼎信通讯, 1476115200, 2016-10-11 00:00:00
SZ002815, 崇达技术, 1476201600, 2016-10-12 00:00:00
SH603887, 城地股份, 1476028800, 2016-10-10 00:00:00
SZ300547, 川环科技, 1475164800, 2016-09-30 00:00:00
SH601128, 常熟银行, 1475164800, 2016-09-30 00:00:00
SZ300549, 优德精密, 1475164800, 2016-09-30 00:00:00
SZ300546, 雄帝科技, 1474992000, 2016-09-28 00:00:00
SH603738, 泰晶科技, 1474992000, 2016-09-28 00:00:00
SZ300545, 联得装备, 1474992000, 2016-09-28 00:00:00
SH600908, 无锡银行, 1474560000, 2016-09-23 00:00:00
SZ300536, 农尚环境, 1474300800, 2016-09-20 00:00:00
SH601500, 通用股份, 1474214400, 2016-09-19 00:00:00
SZ300542, 新晨科技, 1474300800, 2016-09-20 00:00:00
SH603189, 网达软件, 1473782400, 2016-09-14 00:00:00
SZ300541, 先进数通, 1473696000, 2016-09-13 00:00:00
SH603067, 振华股份, 1473696000, 2016-09-13 00:00:00
SZ300534, 陇神戎发, 1473696000, 2016-09-13 00:00:00
SH603393, 新天然气, 1473609600, 2016-09-12 00:00:00
SZ002812, 创新股份, 1473782400, 2016-09-14 00:00:00
SH601163, 三角轮胎, 1473350400, 2016-09-09 00:00:00
SZ002811, 亚泰国际, 1473264000, 2016-09-08 00:00:00
SZ300543, 朗科智能, 1473264000, 2016-09-08 00:00:00
SH603843, 正平股份, 1473004800, 2016-09-05 00:00:00
SZ002807, 江阴银行, 1472745600, 2016-09-02 00:00:00
SH603658, 安图生物, 1472659200, 2016-09-01 00:00:00
SZ300539, 横河模具, 1472486400, 2016-08-30 00:00:00
SZ300537, 广信材料, 1472486400, 2016-08-30 00:00:00
SH603090, 宏盛股份, 1472572800, 2016-08-31 00:00:00
SZ002810, 山东赫达, 1472140800, 2016-08-26 00:00:00
SH603007, 花王股份, 1472140800, 2016-08-26 00:00:00
SZ300538, 同益股份, 1472140800, 2016-08-26 00:00:00
SZ002809, 红墙股份, 1471881600, 2016-08-23 00:00:00
SH603031, 安德利, 1471795200, 2016-08-22 00:00:00
SZ300540, 深冷股份, 1471881600, 2016-08-23 00:00:00
SH603515, 欧普照明, 1471536000, 2016-08-19 00:00:00
SZ300533, 冰川网络, 1471449600, 2016-08-18 00:00:00
SH603986, 兆易创新, 1471449600, 2016-08-18 00:00:00
SH601595, 上海电影, 1471363200, 2016-08-17 00:00:00
SZ300532, 今天国际, 1471449600, 2016-08-18 00:00:00
SH601997, 贵阳银行, 1471276800, 2016-08-16 00:00:00
SH600936, 广西广电, 1471190400, 2016-08-15 00:00:00
SZ002808, 苏州恒久, 1470931200, 2016-08-12 00:00:00
SH603159, 上海亚虹, 1470931200, 2016-08-12 00:00:00
SZ300535, 达威股份, 1470931200, 2016-08-12 00:00:00
SH603569, 长久物流, 1470758400, 2016-08-10 00:00:00
SZ300530, 达志科技, 1470672000, 2016-08-09 00:00:00
SH600977, 中国电影, 1470672000, 2016-08-09 00:00:00
SH601811, 新华文轩, 1470585600, 2016-08-08 00:00:00
SZ300531, 优博讯, 1470672000, 2016-08-09 00:00:00
SZ300528, 幸福蓝海, 1470585600, 2016-08-08 00:00:00
SZ300527, 华舟应急, 1470326400, 2016-08-05 00:00:00
SZ300529, 健帆生物, 1470067200, 2016-08-02 00:00:00
SZ300526, 中潜股份, 1470067200, 2016-08-02 00:00:00
SH600919, 江苏银行, 1470067200, 2016-08-02 00:00:00
SH603663, 三祥新材, 1469980800, 2016-08-01 00:00:00
SH603322, 超讯通信, 1469635200, 2016-07-28 00:00:00
SZ300525, 博思软件, 1469462400, 2016-07-26 00:00:00
SZ002806, 华锋股份, 1469462400, 2016-07-26 00:00:00
SZ300523, 辰安科技, 1469462400, 2016-07-26 00:00:00
SZ300517, 海波重科, 1468857600, 2016-07-19 00:00:00
SZ002803, 吉宏股份, 1468252800, 2016-07-12 00:00:00
SH603069, 海汽集团, 1468252800, 2016-07-12 00:00:00
SZ300520, 科大国创, 1467907200, 2016-07-08 00:00:00
SZ002805, 丰元股份, 1467820800, 2016-07-07 00:00:00
SZ300521, 爱司凯, 1467648000, 2016-07-05 00:00:00
SZ300522, 世名科技, 1467648000, 2016-07-05 00:00:00
SH601966, 玲珑轮胎, 1467734400, 2016-07-06 00:00:00
SH603016, 新宏泰, 1467302400, 2016-07-01 00:00:00
SZ002802, 洪汇新材, 1467129600, 2016-06-29 00:00:00
SH603958, 哈森股份, 1467129600, 2016-06-29 00:00:00
SH603909, 合诚股份, 1467043200, 2016-06-28 00:00:00
SZ300518, 盛讯达, 1466697600, 2016-06-24 00:00:00
SZ002801, 微光股份, 1466524800, 2016-06-22 00:00:00
SZ300519, 新光药业, 1466697600, 2016-06-24 00:00:00
SH601127, 小康股份, 1465920000, 2016-06-15 00:00:00
SZ300515, 三德科技, 1465315200, 2016-06-08 00:00:00
SZ002799, 环球印务, 1465315200, 2016-06-08 00:00:00
SH603131, 上海沪工, 1465228800, 2016-06-07 00:00:00
SH601611, 中国核建, 1465142400, 2016-06-06 00:00:00
SZ300516, 久之洋, 1464796800, 2016-06-02 00:00:00
SH603737, 三棵树, 1464883200, 2016-06-03 00:00:00
SZ002800, 天顺股份, 1464537600, 2016-05-30 00:00:00
SZ300513, 恒泰实达, 1464537600, 2016-05-30 00:00:00
SZ300512, 中亚股份, 1464192000, 2016-05-26 00:00:00
SZ002798, 帝王洁具, 1464105600, 2016-05-25 00:00:00
SH603339, 四方冷链, 1463587200, 2016-05-19 00:00:00
SH603959, 百利科技, 1463414400, 2016-05-17 00:00:00
SH603779, 威龙股份, 1463328000, 2016-05-16 00:00:00
SZ002797, 第一创业, 1462896000, 2016-05-11 00:00:00
SZ002796, 世嘉科技, 1462809600, 2016-05-10 00:00:00
SZ300510, 金冠电气, 1462464000, 2016-05-06 00:00:00
SH603101, 汇嘉时代, 1462464000, 2016-05-06 00:00:00
SZ300511, 雪榕生物, 1462291200, 2016-05-04 00:00:00
SH603528, 多伦科技, 1462204800, 2016-05-03 00:00:00
SZ300507, 苏奥传感, 1461859200, 2016-04-29 00:00:00
SZ002795, 永和智控, 1461772800, 2016-04-28 00:00:00
SH603822, 嘉澳环保, 1461772800, 2016-04-28 00:00:00
SH603029, 天鹅股份, 1461686400, 2016-04-27 00:00:00
SZ300509, 新美星, 1461513600, 2016-04-25 00:00:00
SH603726, 朗迪集团, 1461168000, 2016-04-21 00:00:00
SZ300508, 维宏股份, 1460995200, 2016-04-19 00:00:00
SZ002793, 东音股份, 1460649600, 2016-04-15 00:00:00
SH603868, 飞科电器, 1460908800, 2016-04-18 00:00:00
SH603701, 德宏股份, 1460390400, 2016-04-12 00:00:00
SH603798, 康普顿, 1459872000, 2016-04-06 00:00:00
SZ300474, 景嘉微, 1459353600, 2016-03-31 00:00:00
SH603028, 赛福天, 1459353600, 2016-03-31 00:00:00
SZ002791, 坚朗五金, 1459180800, 2016-03-29 00:00:00
SZ002792, 通宇通讯, 1459094400, 2016-03-28 00:00:00
SZ300506, 名家汇, 1458748800, 2016-03-24 00:00:00
SZ300484, 蓝海华腾, 1458576000, 2016-03-22 00:00:00
SH603861, 白云电器, 1458576000, 2016-03-22 00:00:00
SZ300505, 川金诺, 1457971200, 2016-03-15 00:00:00
SH601020, 华钰矿业, 1458057600, 2016-03-16 00:00:00
SZ002789, 建艺集团, 1457625600, 2016-03-11 00:00:00
SH603919, 金徽酒, 1457539200, 2016-03-10 00:00:00
SZ300503, 昊志机电, 1457452800, 2016-03-09 00:00:00
SH603520, 司太立, 1457452800, 2016-03-09 00:00:00
SZ002790, 瑞尔特, 1457366400, 2016-03-08 00:00:00
SH603027, 千禾味业, 1457280000, 2016-03-07 00:00:00
SZ300502, 新易盛, 1456934400, 2016-03-03 00:00:00
SH603608, 天创时尚, 1455724800, 2016-02-18 00:00:00
SZ002788, 鹭燕医药, 1455724800, 2016-02-18 00:00:00
SH601900, 南方传媒, 1455465600, 2016-02-15 00:00:00
